# STD                 w0        w1  KCWIw0   KCWIw1  KCWInw  <KCWIdw> <KCWIfwhm>
40erib            3320.00   9880.00 3320.00  9880.00     57  115.088   80.000
bd02d3375         1710.46 318750.56 3201.89 10996.19   1867    4.176    7.849
bd08d2015         3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
bd17d4708         1710.57  24787.42 3202.68 10985.36   1814    4.292    9.534
bd21d0607         1710.47 318986.09 3201.13 10994.85   1869    4.171    7.854
bd25d3941         3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
bd25d4655         3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
bd26d2606         1710.14 318934.09 3201.72 10993.11   1872    4.164    7.861
bd28d4211         1140.60  10242.72 3200.85 10242.72   2374    2.967    8.569
bd29d2091         1711.27 318987.25 3201.72 10994.94   1867    4.176    7.852
bd33d2642         1148.60   9202.53 3200.92  9202.53   3751    1.600   10.599
bd40d4032         3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
bd54d1216         1711.32 319006.81 3200.56 10992.55   1855    4.202    7.908
bd60d1753         1140.31 318869.97 3201.91 10984.00   1830    4.254    8.508
bd75d325          1140.60  10237.66 3202.66 10237.66   1800    3.910    7.821
feige110          1148.60  24999.78 3200.55 10973.55   1786    4.354    9.822
feige15           3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
feige24           3340.00   9440.00 3340.00  9440.00    109   55.963   40.000
feige25           3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
feige34           1148.60  10242.56 3200.92 10242.56   2820    2.498    8.647
feige56           3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
feige66           1147.80   9202.53 3200.92  9202.53   3751    1.600   10.599
feige67           3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
feige92           3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
feige98           3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
g138-31           3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
g191b2b           1140.10  24986.22 3201.88 10998.48   1818    4.290    9.534
g193-74           3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
g47-18            3340.00   9280.00 3340.00  9280.00    107   55.514   40.000
g60-54            3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
g93-48            1148.60   9202.53 3200.92  9202.53   3751    1.600   10.599
g99-37            3320.00  10040.00 3320.00 10040.00     59  113.898   80.000
gd108             3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
gd140             3160.00  10560.00 3240.00 10560.00    108   68.148   40.000
gd190             3210.00  10460.00 3210.00 10460.00    193   37.565   20.000
gd248             3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
gd50              3200.00   9200.00 3201.00  9200.00   3750    1.600   20.000
gd71              1140.52 300111.38 3200.13 10984.00   1757    4.432    0.000
gj7541a           1711.07 400000.00 3201.64 10981.24   1811    4.297    8.118
grw70d5824        1140.12 320027.72 3200.58 10984.00   1757    4.432    0.000
grw70d8247        3336.00   9192.00 3336.00  9192.00    106   55.245   40.000
grw73d8031        3336.00   9432.00 3336.00  9432.00    109   55.927   40.000
hd009051          1710.26 318822.47 3200.46 10998.76   1851    4.215    7.812
hd031128          1710.57 318743.97 3202.15 10996.00   1869    4.172    7.853
hd074000          1711.27 318843.78 3200.17 10999.45   1871    4.170    7.850
hd116405          1140.27 318878.78 3201.76 10991.20   1872    4.162    7.860
hd180609          1140.46 318899.00 3201.98 10991.90   1872    4.163    7.860
hd19445           3080.00  12000.00 3240.00 10820.00     64  119.688   40.000
hd37725           1140.27 318899.00 3202.00 10984.00   1830    4.254    8.508
hd60753           1148.60  10224.99 3202.22 10224.99   1798    3.907    7.816
hd84937           3080.00  12000.00 3240.00 10820.00     64  119.688   40.000
hd93521           1148.60 318937.88 3201.96 10998.72   2193    3.557    6.713
he3               3340.00   9440.00 3340.00  9440.00    109   55.963   40.000
hil600            3200.00   8370.00 3250.00  8370.00     28  184.643   50.000
hz14              3230.00   7420.00 3230.00  7420.00    145   28.897   20.000
hz15              3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
hz2               1147.90   9202.53 3200.92  9202.53   3751    1.600   10.599
hz21              1140.49  10241.46 3201.00 10241.46   1802    3.909    7.818
hz29              3340.00   8720.00 3340.00  8720.00     99   54.343   40.000
hz4               1140.19  10238.10 3200.69 10238.10   1779    3.957    7.916
hz43              1140.60  10238.75 3200.23 10238.75   1778    3.960    7.922
hz44              1140.60  10240.89 3200.85 10240.89   2380    2.959    8.541
hz7               3210.00   7220.00 3210.00  7220.00    156   25.705   20.000
kopff27           3200.00   8370.00 3250.00  8370.00     28  184.643   49.000
l1363-3           3316.00  10520.00 3316.00 10520.00     62  116.194   80.000
l1512-34b         3210.00  10040.00 3210.00 10040.00    174   39.253   20.000
l745-46a          3320.00  10520.00 3320.00 10520.00     62  116.129   80.000
